edge_id,chain,hop,layer,kind,src_module,src_offset,src_name,src_insn,dst_module,dst_offset,dst_name,resolved_by,confidence,evidence,source,note
E0007,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->ac(Ljava/lang/Object;Ljava/lang/Object;)V,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_ac is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0008,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->aior(Ljava/lang/String;Ljava/lang/String;)V,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_aior is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0009,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->awl(Ljava/lang/String;)V,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_awl is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0010,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->chl([B)Z,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_chl is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0011,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->djp(I)[B,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_djp is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0012,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->eio()V,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_eio is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0013,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->i(I)V,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_i is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0014,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->ic(Landroid/content/Context;)V,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_ic is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0015,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->ilil(I)Ljava/lang/String;,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_ilil is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
E0016,CH-08,0,L1,declares_native,classes.dex,,Lcom/snake/helper/Native;,ACC_NATIVE method declaration,classes.dex,,Lcom/snake/helper/Native;->pjowqpxe(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V,dex method_ids access flags,proven,expected static export Java_com_snake_helper_Native_pjowqpxe is exported by NOBODY -> must be bound via RegisterNatives,fragments/F2_dex_natives.txt,
